
Lmod is automatically replacing "cce/15.0.0" with "amd/5.3.0".


Lmod is automatically replacing "PrgEnv-cray/8.3.3" with "PrgEnv-amd/8.3.3".


Due to MODULEPATH changes, the following have been reloaded:
  1) cray-mpich/8.1.23

Mon 09 Oct 2023 05:45:29 PM EDT
Comm|Scope 0.12.0 v0.12.0@124999d
  scope 1.1.2 HEAD@124999d
    spdlog 1.6.1
    benchmark 1.5.1
[2023-10-09 17:45:31.397] [scope] [info] recorded system CPU turbo state
[2023-10-09 17:45:31.398] [scope] [info] recorded CPU goveror
[2023-10-09 17:45:31.398] [scope] [error] unable to disable CPU turbo: no permission. Run with higher privileges?
[2023-10-09 17:45:31.398] [scope] [error] unable to set OS CPU governor to maximum: no permission. Run with higher privileges?
2023-10-09T17:45:33-04:00
Running /lustre/orion/csc465/scratch/cpearson/frontier-gpu-bandwidth/build/comm_scope
Run on (128 X 1795.92 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 512 KiB (x64)
  L3 Unified 32768 KiB (x8)
Load Average: 0.29, 3.20, 19.10
--------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations UserCounters...
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):22/manual_time_cv           0.11 %          0.05 %             5 bytes=0.00% bytes_per_second=0.11% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time             14473 ns        37737 ns        48505 bytes=8.38861M bytes_per_second=539.816G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time             14416 ns        37734 ns        48505 bytes=8.38861M bytes_per_second=541.924G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time             14436 ns        37691 ns        48505 bytes=8.38861M bytes_per_second=541.174G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time             14406 ns        37692 ns        48505 bytes=8.38861M bytes_per_second=542.318G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time             14464 ns        37745 ns        48505 bytes=8.38861M bytes_per_second=540.117G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time_mean        14439 ns        37720 ns            5 bytes=8.38861M bytes_per_second=541.07G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time_median      14436 ns        37734 ns            5 bytes=8.38861M bytes_per_second=541.174G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time_stddev       29.2 ns         26.1 ns            5 bytes=0 bytes_per_second=1119.04M/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):23/manual_time_cv           0.20 %          0.07 %             5 bytes=0.00% bytes_per_second=0.20% own_gpu=-nan% wr_gpu=-nan%
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):24/manual_time             20768 ns        49479 ns        33722 bytes=16.7772M bytes_per_second=752.362G/s own_gpu=0 wr_gpu=0
Comm_implicit_mapped_GPUWrGPU/0/0/log2(N):24/manual_time             20762 ns        49471 ns        33722 bytes=16.7772M bytes_per_second=752.572G/s own_gpu=0 wr_gpu=0
